bag,stamp,distance_v2x,distance_lidar
"Rua daniel hogan",1761932259.022352219,67.731186,61.7284
"Rua daniel hogan",1761932362.788640762,64.708262,57.5275
"Rua daniel hogan",1761932558.800286353,58.241968,51.7825
"Rua daniel hogan",1761932593.739433461,53.048609,49.165
"Rua daniel hogan",1761932618.806913315,50.579367,46.6399
"Rua daniel hogan",1761932656.124005919,47.700723,44.3038
"Rua daniel hogan",1761932691.515131097,47.247609,41.7416
"Rua daniel hogan",1761932713.829614782,44.593244,39.966
"Rua daniel hogan",1761932736.763343478,42.128241,37.955
"Rua daniel hogan",1761932762.909191158,39.839217,35.9094
"Rua daniel hogan",1761932797.755907509,37.771187,34.5537
"Rua daniel hogan",1761932839.161156744,37.409757,33.1442
"Rua daniel hogan",1761932864.870200396,37.226202,32.2896
"Rua daniel hogan",1761932949.169649099,35.002090,31.2483
"Rua daniel hogan",1761932987.031339076,32.544985,29.8257
"Rua daniel hogan",1761933018.894156378,32.468909,28.3633
"Rua daniel hogan",1761933070.851392535,32.451557,27.7629
"Rua daniel hogan",1761933102.836864819,29.882947,25.8439
"Rua daniel hogan",1761933120.496638723,28.577401,24.337
"Rua daniel hogan",1761933177.728768367,26.859508,22.8866
"Rua daniel hogan",1761933212.681289418,24.886742,20.8991
"Rua daniel hogan",1761933242.735353035,21.148017,17.6468
"Rua daniel hogan",1761933273.643135589,18.428920,15.1548
"Rua daniel hogan",1761933319.739634450,18.611893,15.6368
"Rua daniel hogan",1761933353.405188437,19.190920,16.8449
"Rua daniel hogan",1761933374.237245206,20.333806,18.2456
"Rua daniel hogan",1761933425.056450783,21.211994,19.3979
"Rua daniel hogan",1761933449.581553893,23.322177,21.2862
"Rua daniel hogan",1761933476.408961726,25.159433,22.9155
"Rua daniel hogan",1761933510.336272848,26.975667,24.3677
"Rua daniel hogan",1761933532.243056444,28.683341,25.9216
"Rua daniel hogan",1761933556.713360721,30.214074,27.2159
"Rua daniel hogan",1761933575.391417288,31.512643,28.2429
"Rua daniel hogan",1761933599.557947554,32.598521,29.6202
"Rua daniel hogan",1761933622.523413904,33.468801,29.9958
"Rua daniel hogan",1761933640.700263388,34.155509,30.3987
"Rua daniel hogan",1761933661.465048639,33.721688,30.6056
"Rua daniel hogan",1761933692.192796131,34.985690,31.4312
"Rua daniel hogan",1761933740.865551720,35.853322,31.3698
"Rua daniel hogan",1761933759.646045819,35.697104,30.8952
"Rua daniel hogan",1761933793.218112407,35.158832,30.3862
"Rua daniel hogan",1761933816.745678720,34.231841,29.3835
"Rua daniel hogan",1761933838.138237994,33.040834,28.1871
"Rua daniel hogan",1761933867.252422071,29.707751,26.6956
"Rua daniel hogan",1761934124.032771420,28.813877,24.6519
"Rua daniel hogan",1761934150.495581297,27.397605,22.8188
"Rua daniel hogan",1761934194.666264360,25.429435,21.1501
"Rua daniel hogan",1761934228.004021908,23.466216,19.1802
"Rua daniel hogan",1761934245.590916138,21.529018,17.3069
"Rua daniel hogan",1761934289.256900503,19.606268,15.8642
"Rua Walter August Hadler",1761934505.420108901,23.852437,22.4135
"Rua Walter August Hadler",1761934695.668957165,24.454683,22.1773
"Rua Walter August Hadler",1761934725.316566934,25.000891,22.1267
"Rua Walter August Hadler",1761934774.971145272,23.997318,22.5154
"Rua Walter August Hadler",1761934796.937179429,25.025568,22.5896
"Rua Walter August Hadler",1761934822.722542930,24.696502,23.5822
"Rua Walter August Hadler",1761934857.135274988,25.984190,24.1745
"Rua Walter August Hadler",1761934879.717773537,27.453993,24.6038
"Rua Walter August Hadler",1761934905.132034397,27.083824,24.6734
"Rua Walter August Hadler",1761934934.532068125,28.219686,24.3563
"Rua Walter August Hadler",1761934959.621877810,26.368704,23.8658
"Rua Walter August Hadler",1761934981.534802714,26.497549,23.2821
"Rua Walter August Hadler",1761935006.928884889,26.554270,22.818
"Rua Walter August Hadler",1761935028.698498651,24.620215,21.9818
"Rua Walter August Hadler",1761935052.164729351,24.840806,21.2018
"Rua Walter August Hadler",1761935071.723294040,22.621788,20.1516
"Rua Walter August Hadler",1761935098.097255526,22.362284,18.906
"Rua Walter August Hadler",1761935121.784469081,20.376408,17.6008
"Rua Walter August Hadler",1761935146.608611780,18.153101,15.893
"Rua Walter August Hadler",1761935169.474159617,18.208289,14.5417
"Rua Walter August Hadler",1761935188.344964923,16.291057,13.1487
"Rua Walter August Hadler",1761935217.851449507,15.350816,11.8297
"Rua Walter August Hadler",1761935240.186967470,12.703712,10.5828
"Rua Walter August Hadler",1761935257.345974403,11.038138,9.49252
"Rua Walter August Hadler",1761935280.024240139,8.606238,6.87814
"Rua Walter August Hadler",1761935301.338437860,7.690031,6.8214
"Rua Walter August Hadler",1761935327.353131180,8.198621,7.78728
"Rua Walter August Hadler",1761935374.007348587,9.474027,9.40802
"Rua Walter August Hadler",1761935402.984980780,11.070876,10.4034
"Rua Walter August Hadler",1761935428.750837688,12.620409,11.9001
"Rua Walter August Hadler",1761935449.196255512,14.383319,13.2031
"Rua Walter August Hadler",1761935464.656161214,14.946723,14.17
"Rua Walter August Hadler",1761935484.198354681,16.519061,14.9279
"Rua Walter August Hadler",1761935501.680950945,16.066245,15.2676
"Rua Walter August Hadler",1761935518.405207955,16.772139,15.1066
"Rua Walter August Hadler",1761935538.746457876,17.286127,14.7352
"Rua Walter August Hadler",1761935560.213952007,15.756419,14.2531
"Rua Walter August Hadler",1761935575.466845833,16.077049,13.7217
"Rua Walter August Hadler",1761935592.610747117,14.562056,13.405
"Rua Walter August Hadler",1761935614.535802334,15.081028,13.1742
"Rua Walter August Hadler",1761935638.057561716,13.709862,13.0497
"Rua Walter August Hadler",1761935667.119177884,14.345434,12.732
"Rua Walter August Hadler",1761935687.673151856,14.122498,12.5325
"Rua Walter August Hadler",1761935705.557391157,13.857201,12.1114
"Rua Walter August Hadler",1761935723.043425968,13.592561,11.6361
"Rua Walter August Hadler",1761935750.162768904,13.221637,11.4432
"Rua Walter August Hadler",1761935772.289243100,12.880538,10.9912
"Rua Walter August Hadler",1761935788.439276684,12.579631,10.9368
"Rua Walter August Hadler",1761935809.061455932,12.446854,10.5856
"Rua Walter August Hadler",1761935828.293508575,12.502603,10.8149
"Rua Walter August Hadler",1761935847.939189507,12.650109,10.8024
"Rua Walter August Hadler",1761935864.745037912,12.808032,10.9629
"Rua Walter August Hadler",1761935882.486025237,12.802124,10.9553
"Rua Walter August Hadler",1761935900.179231315,12.737038,10.8347
"Rua Walter August Hadler",1761935918.504004141,12.486134,10.593
"Rua Walter August Hadler",1761935937.561426603,12.198861,10.1388
"Rua Walter August Hadler",1761935955.827922885,11.858584,9.74379
"Rua Walter August Hadler",1761935979.551306277,11.617153,9.61372
"Rua Walter August Hadler",1761935996.359175287,11.406574,9.45132
"Rua Walter August Hadler",1761936015.676461532,11.321483,9.33635
"Rua Walter August Hadler",1761936035.495490410,11.294413,9.42891
"Rua Walter August Hadler",1761936061.668874712,11.356039,9.46539
"Rua Walter August Hadler",1761936079.299819676,11.529268,9.70341
"Rua Walter August Hadler",1761936101.344979807,11.803061,9.97668
"Rua Walter August Hadler",1761936118.601963793,11.983586,10.0386
"Rua Walter August Hadler",1761936140.570025528,11.713880,9.6369
"Rua Walter August Hadler",1761936158.443131996,10.865085,8.9262
"Rua Walter August Hadler",1761936176.190003297,9.780883,7.73236
"Rua Walter August Hadler",1761936198.313886889,9.571501,7.10326
"Rua Walter August Hadler",1761936215.343753018,8.983420,7.26638
"Rua Walter August Hadler",1761936235.924192058,10.097680,8.07687
"Rua Walter August Hadler",1761936254.200941320,9.447944,8.34183
"Rua Walter August Hadler",1761936271.137079123,10.858745,9.2671
"Rua Walter August Hadler",1761936289.850018294,11.942119,10.3527
"Rua Walter August Hadler",1761936309.396399786,13.570334,11.3189
"Rua Walter August Hadler",1761936325.042731108,13.739301,12.0882
"Rua Walter August Hadler",1761936341.320543129,15.065360,12.53
"Rua Walter August Hadler",1761936360.309386976,15.462616,12.7602
"Rua Walter August Hadler",1761936375.131266463,15.779369,13.038
"Rua Walter August Hadler",1761936390.721608361,16.083383,13.4063
"Rua Walter August Hadler",1761936407.865364683,16.479521,13.735
"Rua Walter August Hadler",1761936422.251638353,16.791116,13.9425
"Rua Walter August Hadler",1761936436.165116593,16.984924,13.1002
"Rua Walter August Hadler",1761936452.154563346,17.097758,14.1085
"Rua Walter August Hadler",1761936473.380388969,17.175348,14.1333
