t,out2
0,20
3.1554e-30,20
2.5796e-08,20
1.5477e-07,20
7.9967e-07,20
4.0241e-06,20
2.0146e-05,20
0.00010076,20.001
0.00050382,20.007
0.0023174,20.032
0.0047271,20.066
0.0075303,20.105
0.010668,20.148
0.014123,20.196
0.017896,20.249
0.022007,20.306
0.026484,20.368
0.03137,20.436
0.036725,20.51
0.042625,20.592
0.049175,20.683
0.056511,20.785
0.064826,20.9
0.074388,21.033
0.085579,21.189
0.1,21.389
0.10438,21.45
0.10876,21.51
0.11392,21.582
0.11955,21.66
0.12579,21.747
0.13274,21.844
0.14057,21.952
0.14951,22.077
0.15989,22.221
0.17218,22.391
0.18709,22.599
0.2,22.778
0.20504,22.848
0.21008,22.918
0.21443,22.978
0.21443,22.978
0.21736,23.019
0.21987,23.054
0.21987,23.054
0.22279,23.094
0.2315,23.215
0.24033,23.338
0.25084,23.484
0.26324,23.656
0.27833,23.866
0.29731,24.129
0.3,24.167
0.30591,24.249
0.31181,24.331
0.31188,24.332
0.31188,24.332
0.31523,24.378
0.31859,24.425
0.31879,24.428
0.31879,24.428
0.32247,24.479
0.33169,24.607
0.34122,24.739
0.35265,24.898
0.3663,25.088
0.3832,25.322
0.4,25.556
0.40504,25.625
0.41008,25.694
0.41357,25.741
0.41706,25.788
0.41995,25.826
0.42245,25.86
0.43146,25.98
0.44049,26.1
0.45129,26.245
0.46408,26.416
0.47973,26.626
0.5,26.897
0.50346,26.944
0.50692,26.989
0.51121,27.046
0.51578,27.105
0.51947,27.153
0.52373,27.208
0.52962,27.285
0.53595,27.367
0.54304,27.459
0.55105,27.563
0.56023,27.682
0.5709,27.822
0.58359,27.987
0.6,28.202
0.60301,28.241
0.60601,28.28
0.60959,28.327
0.61336,28.377
0.61742,28.43
0.62178,28.487
0.62649,28.549
0.63163,28.617
0.63725,28.69
0.64346,28.772
0.65038,28.863
0.65817,28.966
0.66707,29.083
0.67738,29.219
0.67934,29.245
0.67934,29.245
0.67934,29.245
0.69154,29.406
0.7,29.518
0.70277,29.555
0.70553,29.592
0.7088,29.635
0.71224,29.68
0.7159,29.729
0.71983,29.781
0.72411,29.838
0.72878,29.9
0.73388,29.967
0.73949,30.042
0.74569,30.124
0.7526,30.216
0.76039,30.32
0.76927,30.438
0.77957,30.575
0.79176,30.738
0.8,30.848
0.80298,30.888
0.80597,30.927
0.80951,30.974
0.81325,31.022
0.81727,31.074
0.82158,31.129
0.82625,31.188
0.83132,31.251
0.83688,31.319
0.843,31.393
0.84982,31.474
0.85748,31.564
0.86621,31.664
0.87631,31.778
0.88822,31.908
0.9,32.032
0.90344,32.068
0.90687,32.104
0.91095,32.147
0.9153,32.193
0.92,32.242
0.92512,32.296
0.93073,32.356
0.93692,32.422
0.94381,32.496
0.95158,32.579
0.96043,32.675
0.97069,32.786
0.98281,32.918
0.9975,33.08
1,33.108
1.0035,33.146
1.007,33.184
1.011,33.228
1.0153,33.273
1.0199,33.322
1.0249,33.375
1.0304,33.431
1.0364,33.493
1.0432,33.56
1.0507,33.634
1.0593,33.716
1.0692,33.809
1.0808,33.915
1.0948,34.039
1.1,34.084
1.104,34.118
1.108,34.153
1.113,34.196
1.1184,34.243
1.1243,34.295
1.1308,34.352
1.1382,34.418
1.1465,34.492
1.156,34.579
1.1672,34.681
1.1806,34.805
1.197,34.96
1.2,34.989
1.2032,35.019
1.2065,35.05
1.2102,35.085
1.2142,35.121
1.2185,35.16
1.2231,35.202
1.2281,35.247
1.2336,35.295
1.2397,35.348
1.2464,35.405
1.254,35.468
1.2626,35.538
1.2726,35.618
1.2843,35.708
1.2984,35.813
1.3,35.825
1.3037,35.852
1.3073,35.878
1.3114,35.907
1.3158,35.938
1.3205,35.97
1.3256,36.005
1.3312,36.043
1.3375,36.085
1.3444,36.13
1.3522,36.179
1.3611,36.235
1.3714,36.297
1.3837,36.368
1.3985,36.452
1.4,36.46
1.4045,36.484
1.409,36.509
1.414,36.538
1.4194,36.569
1.4254,36.604
1.4321,36.644
1.4396,36.689
1.44,36.691
1.44,36.691
1.4463,36.73
1.4527,36.77
1.46,36.817
1.4682,36.87
1.4777,36.933
1.4888,37.007
1.5,37.085
1.5042,37.114
1.5084,37.143
1.5133,37.177
1.5187,37.212
1.5246,37.251
1.5311,37.294
1.5385,37.34
1.5468,37.391
1.5563,37.449
1.5675,37.514
1.5809,37.59
1.5973,37.679
1.6,37.693
1.6097,37.744
1.6195,37.798
1.6316,37.866
1.6461,37.951
